zip,pct_poverty,pct_black,pct_college_plus,pct_mortgage,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,cluster
30663,0.2187403993855606,0.1615975422427035,0.1612903225806451,0.51171875,33.61572,-83.60357,Rutledge,GA,Georgia,True,,3507.0,26.9,13211,Morgan,"{""13211"": 100}",Morgan,13211,False,False,America/New_York,1
30666,0.080728208900331,0.1498712762044869,0.2569744032211676,0.7042671614100185,33.95891,-83.58266,Statham,GA,Georgia,True,,10579.0,114.7,13013,Barrow,"{""13013"": 59.72, ""13219"": 30.58, ""13157"": 9.7}",Barrow|Oconee|Jackson,13013|13219|13157,False,False,America/New_York,2
30115,0.038251754885221,0.0382214561885685,0.4056603773584906,0.7399224152470906,34.21296,-84.40138,Canton,GA,Georgia,True,,53299.0,281.2,13057,Cherokee,"{""13057"": 100}",Cherokee,13057,False,False,America/New_York,2
30117,0.2645760476982171,0.2342784952274003,0.2567770378013319,0.5732398568019093,33.58113,-85.13197,Carrollton,GA,Georgia,True,,38896.0,138.9,13045,Carroll,"{""13045"": 100}",Carroll,13045,False,False,America/New_York,1
30127,0.0666333166583291,0.432188682466073,0.3725031920188708,0.7610840108401083,33.87647,-84.69648,Powder Springs,GA,Georgia,True,,72126.0,542.6,13067,Cobb,"{""13067"": 84.55, ""13223"": 15.45}",Cobb|Paulding,13067|13223,False,False,America/New_York,2
30132,0.0951548810264758,0.1527917947755063,0.2248328147909737,0.7900224106011887,33.99042,-84.85279,Dallas,GA,Georgia,True,,50803.0,191.5,13223,Paulding,"{""13223"": 100}",Paulding,13223,False,False,America/New_York,2
30141,0.0745752708570465,0.2790207727636624,0.2153864970645792,0.7019639934533551,33.86244,-84.77521,Hiram,GA,Georgia,True,,25881.0,361.8,13223,Paulding,"{""13223"": 99.74, ""13067"": 0.26}",Paulding|Cobb,13223|13067,False,False,America/New_York,2
30161,0.1914129634176282,0.2191516145086214,0.2223848759881216,0.533609749968589,34.23758,-85.17319,Rome,GA,Georgia,True,,34461.0,92.9,13115,Floyd,"{""13115"": 98.5, ""13015"": 1.5}",Floyd|Bartow,13115|13015,False,False,America/New_York,1
30175,0.152428810720268,0.0103531151784063,0.1733333333333333,0.5546052631578947,34.54239,-84.52793,Talking Rock,GA,Georgia,True,,6086.0,26.9,13227,Pickens,"{""13227"": 57.2, ""13123"": 42.8}",Pickens|Gilmer,13227|13123,False,False,America/New_York,1
30501,0.251143823353889,0.1365374112506827,0.21267087276551,0.61777115909655,34.31844,-83.81636,Gainesville,GA,Georgia,True,,31305.0,552.9,13139,Hall,"{""13139"": 100}",Hall,13139,False,False,America/New_York,1
30513,0.1153359750442627,0.0035513709943838,0.2040060962333986,0.4575725026852846,34.82469,-84.31891,Blue Ridge,GA,Georgia,True,,11594.0,30.1,13111,Fannin,"{""13111"": 95.22, ""13123"": 4.78}",Fannin|Gilmer,13111|13123,False,False,America/New_York,1
30519,0.0275472592848059,0.178295061340044,0.3836599136499501,0.7654480154710378,34.08792,-83.9423,Buford,GA,Georgia,True,,57648.0,659.3,13135,Gwinnett,"{""13135"": 88.71, ""13139"": 11.29}",Gwinnett|Hall,13135|13139,False,False,America/New_York,2
30545,0.0839612486544671,0.0107642626480086,0.3239644970414201,0.5245901639344263,34.74208,-83.75813,Helen,GA,Georgia,True,,841.0,7.0,13311,White,"{""13311"": 100}",White,13311,False,False,America/New_York,1
30549,0.0903444156878359,0.0766940853897375,0.2594449626865671,0.7293739476503903,34.10731,-83.57684,Jefferson,GA,Georgia,True,,30643.0,112.1,13157,Jackson,"{""13157"": 100}",Jackson,13157,False,False,America/New_York,2
30571,0.0563746747614917,0.0063602197166811,0.4145284905031656,0.4680993955674949,34.71219,-83.68322,Sautee Nacoochee,GA,Georgia,True,,3984.0,35.2,13311,White,"{""13311"": 100}",White,13311,False,False,America/New_York,2
30828,0.2913840743531776,0.6283316880552814,0.1179831932773109,0.4160377358490566,33.37281,-82.65351,Warrenton,GA,Georgia,True,,3369.0,9.7,13301,Warren,"{""13301"": 96.22, ""13125"": 3.78}",Warren|Glascock,13301|13125,False,False,America/New_York,0
30016,0.1506995795273307,0.5732194866043163,0.1943618513323983,0.7828092565541631,33.51836,-83.93073,Covington,GA,Georgia,True,,61123.0,259.9,13217,Newton,"{""13217"": 99.62, ""13247"": 0.38}",Newton|Rockdale,13217|13247,False,False,America/New_York,2
30101,0.0701521168472773,0.1775182727043602,0.4184058270482488,0.7879624871531347,34.04355,-84.71244,Acworth,GA,Georgia,True,,62871.0,592.6,13067,Cobb,"{""13067"": 68.58, ""13223"": 25.33, ""13015"": 5.53, ""13057"": 0.56}",Cobb|Paulding|Bartow|Cherokee,13067|13223|13015|13057,False,False,America/New_York,2
30582,0.1825581395348837,0.0232092837134853,0.3078864353312303,0.5066854327938072,34.9494,-83.89869,Young Harris,GA,Georgia,True,,5154.0,38.4,13281,Towns,"{""13281"": 62.92, ""13291"": 37.08}",Towns|Union,13281|13291,False,False,America/New_York,1
30665,0.3116883116883117,0.7402597402597403,0.0,0.375,33.53707,-83.07475,Siloam,GA,Georgia,True,,126.0,167.8,13133,Greene,"{""13133"": 100}",Greene,13133,False,False,America/New_York,0
