zip,pct_poverty,pct_black,pct_college_plus,pct_mortgage,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,cluster
71227,0.1552011425850988,0.1106089438629876,0.3194283507145616,0.4041811846689895,32.52866,-92.48353,Choudrant,LA,Louisiana,True,,4099.0,13.7,22061,Lincoln,"{""22061"": 60.38, ""22049"": 36.81, ""22073"": 2.81}",Lincoln|Jackson|Ouachita,22061|22049|22073,False,False,America/Chicago,1
71238,0.1609385327164573,0.0360211500330469,0.1597964376590331,0.4471718249733191,32.36716,-92.38139,Eros,LA,Louisiana,True,,2399.0,8.6,22049,Jackson,"{""22049"": 64.81, ""22073"": 35.19}",Jackson|Ouachita,22049|22073,False,False,America/Chicago,2
71256,0.4692307692307692,0.6092307692307692,0.0786267995570321,0.3286713286713286,32.94852,-92.71471,Lillie,LA,Louisiana,True,,699.0,5.1,22111,Union,"{""22111"": 61.64, ""22027"": 38.36}",Union|Claiborne,22111|22027,False,False,America/Chicago,0
71275,0.1225490196078431,0.3842383107088989,0.1463013698630137,0.3373860182370821,32.51276,-92.81991,Simsboro,LA,Louisiana,True,,2565.0,10.2,22061,Lincoln,"{""22061"": 76.95, ""22013"": 23.05}",Lincoln|Bienville,22061|22013,False,False,America/Chicago,2
71280,0.1983568075117371,0.2232195121951219,0.2285060477280157,0.5361930294906166,32.72344,-92.10389,Sterlington,LA,Louisiana,True,,4999.0,32.5,22111,Union,"{""22111"": 71.15, ""22073"": 22.63, ""22067"": 6.22}",Union|Ouachita|Morehouse,22111|22073|22067,False,False,America/Chicago,1
71302,0.2853913960672041,0.829733163913596,0.1209909312099093,0.4823570924488355,31.2053,-92.36667,Alexandria,LA,Louisiana,True,,14128.0,94.3,22079,Rapides,"{""22079"": 100}",Rapides,22079,False,False,America/Chicago,0
71323,0.2819932049830124,0.0082901554404145,0.1611982881597717,0.3492647058823529,31.26656,-92.21037,Center Point,LA,Louisiana,True,,1103.0,20.6,22009,Avoyelles,"{""22009"": 94.85, ""22079"": 5.15}",Avoyelles|Rapides,22009|22079,False,False,America/Chicago,2
71052,0.3229772752223076,0.6996230479267636,0.1097844627073965,0.4122340425531915,32.01814,-93.66243,Mansfield,LA,Louisiana,True,,8827.0,10.7,22031,De Soto,"{""22031"": 95.71, ""22081"": 4.29}",De Soto|Red River,22031|22081,False,False,America/Chicago,0
71063,0.226771653543307,0.4472440944881889,0.1589648798521257,0.6,31.91051,-93.51569,Pelican,LA,Louisiana,True,,698.0,2.4,22031,De Soto,"{""22031"": 100}",De Soto,22031,False,False,America/Chicago,0
71111,0.1821426104574862,0.2703354178510517,0.2776521345812602,0.6629269758589602,32.57904,-93.70379,Bossier City,LA,Louisiana,True,,43302.0,369.6,22015,Bossier,"{""22015"": 100}",Bossier,22015,False,False,America/Chicago,1
71118,0.1556260420479037,0.4956187304230601,0.1947846219460184,0.729145728643216,32.39262,-93.80498,Shreveport,LA,Louisiana,True,,24994.0,738.1,22017,Caddo,"{""22017"": 100}",Caddo,22017,False,False,America/Chicago,1
71234,0.1193197658210203,0.0211876219682185,0.1552631578947368,0.4561702127659574,32.64306,-92.33954,Downsville,LA,Louisiana,True,,5237.0,17.3,22111,Union,"{""22111"": 86.22, ""22073"": 7.47, ""22061"": 6.31}",Union|Ouachita|Lincoln,22111|22073|22061,False,False,America/Chicago,2
71268,0.0636658556366585,0.1196269261962692,0.2191704035874439,0.3931535269709543,32.34696,-92.74418,Quitman,LA,Louisiana,True,,2262.0,7.2,22049,Jackson,"{""22049"": 57.53, ""22013"": 42.47}",Jackson|Bienville,22049|22013,False,False,America/Chicago,2
71277,0.1971544715447154,0.3136856368563686,0.0227507755946225,0.3116370808678501,32.94902,-92.55554,Spearsville,LA,Louisiana,True,,1792.0,6.4,22111,Union,"{""22111"": 100}",Union,22111,False,False,America/Chicago,2
71301,0.2901744293932083,0.5624164661855119,0.2174697587382209,0.5200213561131874,31.27446,-92.46864,Alexandria,LA,Louisiana,True,,17266.0,534.0,22079,Rapides,"{""22079"": 100}",Rapides,22079,False,False,America/Chicago,0
71328,0.0627495721620079,0.0,0.1390811831340465,0.4936494496189669,31.35276,-92.19097,Deville,LA,Louisiana,True,,8081.0,26.4,22079,Rapides,"{""22079"": 82.6, ""22009"": 17.4}",Rapides|Avoyelles,22079|22009,False,False,America/Chicago,2
71341,0.2110594032302217,0.1102763616850013,0.1745054945054945,0.6158940397350994,31.05969,-92.16267,Hessmer,LA,Louisiana,True,,2901.0,42.5,22009,Avoyelles,"{""22009"": 100}",Avoyelles,22009,False,False,America/Chicago,1
71356,0.529039070749736,0.2397043294614572,0.1295238095238095,0.3696498054474708,30.83423,-92.02988,Morrow,LA,Louisiana,True,,585.0,11.5,22097,St. Landry,"{""22097"": 87.47, ""22009"": 12.53}",St. Landry|Avoyelles,22097|22009,False,False,America/Chicago,0
71068,0.2727817745803357,0.4327091866588648,0.1295081967213114,0.3156586578293289,32.28464,-93.32186,Ringgold,LA,Louisiana,True,,3325.0,8.9,22013,Bienville,"{""22013"": 75.15, ""22081"": 24.85}",Bienville|Red River,22013|22081,False,False,America/Chicago,0
71070,0.1388174807197943,0.2169448010269576,0.1941489361702127,0.3430531732418524,32.08629,-92.99618,Saline,LA,Louisiana,True,,1382.0,2.7,22069,Natchitoches,"{""22069"": 70.4, ""22013"": 29.6}",Natchitoches|Bienville,22069|22013,False,False,America/Chicago,2
71079,0.162037037037037,0.037037037037037,0.0567375886524822,0.6282051282051282,32.94811,-92.81941,Summerfield,LA,Louisiana,True,,236.0,2.7,22027,Claiborne,"{""22027"": 100}",Claiborne,22027,False,False,America/Chicago,2
71109,0.387080209510116,0.9081252234308768,0.1206843164576559,0.3868660598179453,32.46859,-93.814,Shreveport,LA,Louisiana,True,,17292.0,522.6,22017,Caddo,"{""22017"": 100}",Caddo,22017,False,False,America/Chicago,0
71223,0.3176795580110497,0.7541436464088398,0.0817843866171003,0.1290322580645161,32.90084,-91.67443,Bonita,LA,Louisiana,True,,377.0,2.9,22067,Morehouse,"{""22067"": 100}",Morehouse,22067,False,False,America/Chicago,0
71243,0.045662100456621,0.2237442922374429,0.1978021978021978,0.1538461538461538,31.96055,-91.80745,Fort Necessity,LA,Louisiana,True,,193.0,2.9,22041,Franklin,"{""22041"": 100}",Franklin,22041,False,False,America/Chicago,2
71251,0.2820112022925622,0.3647426593725578,0.1166693050498654,0.3562753036437247,32.21891,-92.67162,Jonesboro,LA,Louisiana,True,,7724.0,16.1,22049,Jackson,"{""22049"": 86.5, ""22013"": 13.5}",Jackson|Bienville,22049|22013,False,False,America/Chicago,0
71261,0.3055295220243674,0.3101045296167247,0.1400208986415883,0.3276353276353276,32.77802,-91.69515,Mer Rouge,LA,Louisiana,True,,1429.0,4.0,22067,Morehouse,"{""22067"": 100}",Morehouse,22067,False,False,America/Chicago,0
71266,0.1413189771197846,0.079407806191117,0.1717369970559372,0.3203703703703703,32.70359,-91.48362,Pioneer,LA,Louisiana,True,,1783.0,5.6,22123,West Carroll,"{""22123"": 100}",West Carroll,22123,False,False,America/Chicago,2
71276,0.1818181818181818,0.4272727272727272,0.0,0.7333333333333333,32.57727,-91.16277,Sondheimer,LA,Louisiana,True,,223.0,1.4,22035,East Carroll,"{""22035"": 100}",East Carroll,22035,False,False,America/Chicago,2
71295,0.3029084890044928,0.3933497894583999,0.1161932453589801,0.3968583283935981,32.14565,-91.70795,Winnsboro,LA,Louisiana,True,,14008.0,17.2,22041,Franklin,"{""22041"": 100}",Franklin,22041,False,False,America/Chicago,0
