zip,pct_poverty,pct_black,pct_college_plus,pct_mortgage,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,cluster
28119,0.122799664710813,0.6039314094521121,0.0710843373493975,0.345565749235474,34.85112,-80.01492,Morven,NC,North Carolina,True,,2454.0,14.2,37007,Anson,"{""37007"": 100}",Anson,37007,False,False,America/New_York,0
27890,0.3750952018278751,0.8111731843575419,0.1348448687350835,0.4371980676328502,36.41505,-77.59194,Weldon,NC,North Carolina,True,,2350.0,98.6,37083,Halifax,"{""37083"": 100}",Halifax,37083,False,False,America/New_York,0
27958,0.0684340320591861,0.0545182314602783,0.2405498281786941,0.72782874617737,36.48971,-76.15378,Moyock,NC,North Carolina,True,,13625.0,65.9,37053,Currituck,"{""37053"": 100}",Currituck,37053,False,False,America/New_York,1
27101,0.2859469141833577,0.4565007862831634,0.3092670843654378,0.5912383580545015,36.11204,-80.19889,Winston Salem,NC,North Carolina,True,,21881.0,677.0,37067,Forsyth,"{""37067"": 100}",Forsyth,37067,False,False,America/New_York,0
27283,0.1298212605832549,0.0463368816530995,0.3126415949252378,0.6043233082706767,35.95293,-79.63621,Julian,NC,North Carolina,True,,3262.0,48.9,37081,Guilford,"{""37081"": 98.54, ""37151"": 1.46}",Guilford|Randolph,37081|37151,False,False,America/New_York,1
27834,0.2759271122499822,0.5490237172098222,0.2684624948197265,0.7107275507974656,35.6571,-77.37981,Greenville,NC,North Carolina,True,,55073.0,122.0,37147,Pitt,"{""37147"": 96.27, ""37013"": 2.67, ""37065"": 1.06}",Pitt|Beaufort|Edgecombe,37147|37013|37065,False,False,America/New_York,0
27873,0.135593220338983,0.4334140435835351,0.1015384615384615,0.5511811023622047,35.65331,-77.77606,Saratoga,NC,North Carolina,True,,212.0,145.9,37195,Wilson,"{""37195"": 100}",Wilson,37195,False,False,America/New_York,0
27925,0.2313870868087735,0.3657257057207094,0.108970099667774,0.4399243140964995,35.84336,-76.18349,Columbia,NC,North Carolina,True,,3206.0,4.1,37177,Tyrrell,"{""37177"": 100}",Tyrrell,37177,False,False,America/New_York,0
27973,0.0700583819849874,0.0630705394190871,0.1129533678756476,0.6930022573363431,36.36448,-76.07058,Shawboro,NC,North Carolina,True,,1422.0,14.8,37053,Currituck,"{""37053"": 62.53, ""37029"": 37.47}",Currituck|Camden,37053|37029,False,False,America/New_York,1
27201,0.0,0.0,0.2542372881355932,0.0666666666666666,36.03258,-79.48418,Alamance,NC,North Carolina,True,,135.0,238.5,37001,Alamance,"{""37001"": 100}",Alamance,37001,False,False,America/New_York,1
27205,0.1342863013296545,0.0345927309294641,0.1790253345677973,0.5334231028181207,35.6399,-79.85094,Asheboro,NC,North Carolina,True,,36212.0,62.5,37151,Randolph,"{""37151"": 100}",Randolph,37151,False,False,America/New_York,1
27332,0.1364862198250345,0.1858959763198126,0.2489554819190318,0.6104712041884817,35.37836,-79.13599,Sanford,NC,North Carolina,True,,34378.0,124.0,37105,Lee,"{""37105"": 64.17, ""37085"": 35.83}",Lee|Harnett,37105|37085,False,False,America/New_York,1
27517,0.0752312517368692,0.1056596332084401,0.7400542967526366,0.6142649199417758,35.84389,-79.03186,Chapel Hill,NC,North Carolina,True,,28676.0,240.6,37037,Chatham,"{""37037"": 61.14, ""37135"": 21.46, ""37063"": 17.4}",Chatham|Orange|Durham,37037|37135|37063,False,False,America/New_York,1
27518,0.0288817699469416,0.0693463336981394,0.7342969066594623,0.7052499552051603,35.72927,-78.7736,Cary,NC,North Carolina,True,,18995.0,741.0,37183,Wake,"{""37183"": 100}",Wake,37183,False,False,America/New_York,1
27519,0.0351473922902494,0.0740235827343224,0.7754278861877248,0.7680910899238631,35.80815,-78.88711,Cary,NC,North Carolina,True,,67976.0,1177.4,37183,Wake,"{""37183"": 91.86, ""37037"": 8.14}",Wake|Chatham,37183|37037,False,False,America/New_York,1
27523,0.0612490957318543,0.0586769552286793,0.5853260235623469,0.6845637583892618,35.77102,-78.95367,Apex,NC,North Carolina,True,,18330.0,183.6,37037,Chatham,"{""37037"": 70.4, ""37183"": 29.6}",Chatham|Wake,37037|37183,False,False,America/New_York,1
27527,0.0480453123143343,0.1028140663851284,0.3948784561143069,0.8219940094137783,35.65767,-78.38336,Clayton,NC,North Carolina,True,,35968.0,315.0,37101,Johnston,"{""37101"": 100}",Johnston,37101,False,False,America/New_York,1
27537,0.1700883520423406,0.3979187731715538,0.1367552045944005,0.5506607929515418,36.35343,-78.38887,Henderson,NC,North Carolina,True,,23795.0,49.5,37181,Vance,"{""37181"": 88.38, ""37069"": 7.61, ""37185"": 4.01}",Vance|Franklin|Warren,37181|37069|37185,False,False,America/New_York,0
27539,0.049137895044462,0.1058406341259908,0.5433405145102015,0.7441150828247602,35.67713,-78.81269,Apex,NC,North Carolina,True,,25944.0,323.1,37183,Wake,"{""37183"": 100}",Wake,37183,False,False,America/New_York,1
27556,0.1218487394957983,0.634453781512605,0.2209302325581395,0.2674418604651162,36.39869,-78.31294,Middleburg,NC,North Carolina,True,,180.0,33.0,37181,Vance,"{""37181"": 100}",Vance,37181,False,False,America/New_York,0
27574,0.1028312733544121,0.2047591906526076,0.1294957091890849,0.5344187963726298,36.43166,-78.94147,Roxboro,NC,North Carolina,True,,14163.0,28.5,37145,Person,"{""37145"": 97.36, ""37077"": 2.64}",Person|Granville,37145|37077,False,False,America/New_York,1
27617,0.0634127023414682,0.197524776884769,0.6436213991769547,0.8087080656673804,35.90723,-78.77221,Raleigh,NC,North Carolina,True,,20012.0,934.1,37183,Wake,"{""37183"": 97.55, ""37063"": 2.45}",Wake|Durham,37183|37063,False,False,America/New_York,1
27709,0.0338541666666666,0.1987847222222222,0.6086508753861998,0.9081272084805654,35.91441,-78.86666,Durham,NC,North Carolina,True,,0.0,0.0,37063,Durham,"{""37063"": 100}",Durham,37063,False,False,America/New_York,1
27825,0.3260869565217391,0.1521739130434782,0.0217391304347826,0.7,35.83527,-77.17152,Everetts,NC,North Carolina,True,,102.0,105.8,37117,Martin,"{""37117"": 100}",Martin,37117,False,False,America/New_York,0
27861,0.0,1.0,0.0,0.5294117647058824,35.81716,-77.31899,Parmele,NC,North Carolina,True,,134.0,112.0,37117,Martin,"{""37117"": 100}",Martin,37117,False,False,America/New_York,0
27879,0.1234177215189873,0.5379746835443038,0.1411290322580645,0.5339805825242718,35.57456,-77.27968,Simpson,NC,North Carolina,True,,259.0,344.3,37147,Pitt,"{""37147"": 100}",Pitt,37147,False,False,America/New_York,0
27881,0.1203703703703703,0.2397260273972602,0.0327868852459016,0.4375,35.9702,-77.44228,Speed,NC,North Carolina,True,,29.0,127.7,37065,Edgecombe,"{""37065"": 100}",Edgecombe,37065,False,False,America/New_York,0
27978,0.25,0.0,0.0676691729323308,0.2765957446808511,35.66438,-75.76959,Stumpy Point,NC,North Carolina,True,,221.0,2.9,37055,Dare,"{""37055"": 100}",Dare,37055,False,False,America/New_York,0
27577,0.1811898105001553,0.2171162790697674,0.1860920666013712,0.6890294656234394,35.49166,-78.3446,Smithfield,NC,North Carolina,True,,26946.0,100.3,37101,Johnston,"{""37101"": 100}",Johnston,37101,False,False,America/New_York,1
27016,0.199021207177814,0.0149365197908887,0.1158841158841158,0.5330296127562643,36.44318,-80.2219,Danbury,NC,North Carolina,True,,1858.0,16.1,37169,Stokes,"{""37169"": 100}",Stokes,37169,False,False,America/New_York,0
27326,0.1805603597371151,0.2006896551724138,0.0788453252908229,0.3917634635691658,36.45542,-79.55867,Ruffin,NC,North Carolina,True,,3387.0,20.1,37157,Rockingham,"{""37157"": 68.8, ""37033"": 31.2}",Rockingham|Caswell,37157|37033,False,False,America/New_York,0
27356,0.0782060785767235,0.0228343602754621,0.1489058039961941,0.3992673992673993,35.43991,-79.7982,Star,NC,North Carolina,True,,3112.0,21.2,37123,Montgomery,"{""37123"": 78.79, ""37125"": 21.21}",Montgomery|Moore,37123|37125,False,False,America/New_York,1
27408,0.1070257867132867,0.0990012552529607,0.6076650420912716,0.6741671027385313,36.10321,-79.81411,Greensboro,NC,North Carolina,True,,16229.0,815.1,37081,Guilford,"{""37081"": 100}",Guilford,37081,False,False,America/New_York,1
27504,0.2185477608076624,0.1187712435067017,0.1589658965896589,0.6191553544494721,35.39963,-78.51863,Benson,NC,North Carolina,True,,15999.0,68.8,37101,Johnston,"{""37101"": 97.15, ""37085"": 2.85}",Johnston|Harnett,37101|37085,False,False,America/New_York,1
27513,0.052190593786519,0.0783233059593342,0.6549095529070119,0.7234602561852956,35.80269,-78.80159,Cary,NC,North Carolina,True,,47444.0,1117.3,37183,Wake,"{""37183"": 100}",Wake,37183,False,False,America/New_York,1
27520,0.0790184921763869,0.2039304503739354,0.2592381630473478,0.7603582413605935,35.61274,-78.47075,Clayton,NC,North Carolina,True,,48662.0,265.4,37101,Johnston,"{""37101"": 95.9, ""37183"": 4.1}",Johnston|Wake,37101|37183,False,False,America/New_York,1
